"","mz","Pearson","cosine","delta_RT"
"para",875.617640507874,0.197088882697935,0.808424365778273,1.36900000000003
"para",307.26386457052,0.544150013511857,0.910029405955146,0.518000000000029
"para",299.222204666161,0.344761548533676,0.818925395085339,1.59999999999991
"para",281.211276088955,0.568324956313519,0.898231878581516,1.178
"para",249.1489674022,0.169242134443478,0.875967841340193,1.79300000000001
"para",311.294837615731,0.530535367774336,0.910226546503536,0.331999999999994
"para",400.321821430144,-0.44750483391826,0.592148281106476,1.79300000000001
"para",344.99713041849,0.409341788448216,0.882174856368846,0.754999999999995
"para",763.947287606837,0.915615985833234,0.949050229382469,0.331999999999994
"para",213.185391214259,0.0543529740867273,0.867785468547509,0.754999999999995
"para",886.993758579656,-0.40534420476135,0.476327801355977,1.36900000000003
"para",268.235771624251,-0.55190922370601,0.618445111294827,1.79300000000001
"para",840.575671915731,0.357164814042859,0.887236244053974,0.0919999999999845
"para",309.173250670567,0.572375604758709,0.887300283192075,0.518000000000029
"para",490.294656576791,0.406576745217165,0.890273933648629,0.754999999999995
"para",311.258612428929,-0.770700596908838,0.715121556643747,2.024
"para",861.602228643671,0.221386847830003,0.82915465938793,0.518000000000029
"para",196.983980457035,0.125834775276273,0.873697286946946,0.518000000000029
"para",375.220702342219,0.177558704936964,0.684657670970244,2.024
"para",353.214890674211,0.559215789529023,0.912751737820581,0.754999999999995
"para",539.333288235917,0.308493374313225,0.7850534735525,1.59999999999991
"para",367.28426032822,0.465396009605115,0.899575645578922,0.331999999999994
"para",346.246059884821,0.192873868666298,0.870393967065731,1.79300000000001
"para",247.169955631922,-0.583330211417518,0.811850279710313,1.79300000000001
"para",350.241100395992,0.609497032927782,0.869341525386746,0.518000000000029
"para",167.836528605915,0.411387661044691,0.89534829880026,0.331999999999994
"para",277.180218196876,0.254012903231289,0.881375840099791,0.331999999999994
"para",269.248152121383,0.694433244485097,0.898721972111663,0.754999999999995
"para",495.332151349748,0.830394482580958,0.956955607836254,0.754999999999995
"para",280.235851955961,0.646608638125705,0.921899857298969,0.754999999999995
"para",795.549147602031,-0.0475485292563426,0.453895282422774,1.79300000000001
"para",790.558869917184,-0.232139384824639,0.858160238982791,1.79300000000001
"para",834.583957304096,-0.0715617748773694,0.846289196031695,0.518000000000029
"para",323.205309957085,0.041528786437511,0.850160573920792,2.024
"para",508.303102162343,-0.292403559040516,0.729644446978823,1.79300000000001
"para",169.833198282072,0.262489847503765,0.871543171309564,0.331999999999994
"para",339.272927484502,-0.630438738867983,0.446315775643228,1.79300000000001
"para",344.230963672623,-0.632335164637774,0.764522361081818,1.79300000000001
"para",298.156164697543,0.231793962159749,0.879625273254087,0.942999999999984
"para",1379.98903109485,0.235927324577127,0.879758549487126,1.59999999999991
"para",804.631103631231,-0.143882947997146,0.846552348193807,0.754999999999995
"para",337.205147242684,-0.216496643130283,0.831022843832697,2.024
